factor,horizon,days,mean_ic,icir,t_stat,hit_rate
tech_price_vs_ma20,1d,1387,-0.0098,-0.047,-1.76,0.49
tech_kdj_j,1d,1387,-0.0093,-0.049,-1.84,0.488
tech_macd_hist,1d,1384,-0.0085,-0.049,-1.82,0.473
tech_volume_ratio_5_20,1d,1387,0.0061,0.079,2.95,0.528
tech_kdj_k,1d,1387,-0.0058,-0.03,-1.11,0.507
tech_volatility_20d,1d,1387,0.0058,0.023,0.87,0.52
tech_ma_gap_5_20,1d,1387,-0.0054,-0.026,-0.98,0.494
tech_rsi_14,1d,1387,-0.0046,-0.022,-0.83,0.508
tech_kdj_d,1d,1387,-0.0025,-0.013,-0.49,0.502
tech_volatility_20d,20d,1368,0.0244,0.112,0.93,0.543
tech_kdj_d,20d,1368,0.0032,0.021,0.17,0.526
tech_kdj_j,20d,1368,-0.0023,-0.015,-0.13,0.499
tech_kdj_k,20d,1368,0.0016,0.01,0.09,0.51
tech_price_vs_ma20,20d,1368,-0.0015,-0.009,-0.07,0.521
tech_volume_ratio_5_20,20d,1368,0.0015,0.02,0.16,0.493
tech_macd_hist,20d,1365,0.0014,0.01,0.08,0.505
tech_ma_gap_5_20,20d,1368,-0.0006,-0.003,-0.03,0.512
tech_rsi_14,20d,1368,-0.0001,-0.0,-0.0,0.52
tech_volatility_20d,5d,1383,0.0152,0.063,1.04,0.534
tech_price_vs_ma20,5d,1383,-0.0107,-0.059,-0.98,0.502
tech_kdj_j,5d,1383,-0.0088,-0.053,-0.88,0.499
tech_macd_hist,5d,1380,-0.0081,-0.05,-0.84,0.491
tech_ma_gap_5_20,5d,1383,-0.0068,-0.037,-0.62,0.504
tech_kdj_k,5d,1383,-0.0059,-0.036,-0.6,0.493
tech_volume_ratio_5_20,5d,1383,0.0059,0.076,1.27,0.537
tech_rsi_14,5d,1383,-0.0042,-0.024,-0.4,0.526
tech_kdj_d,5d,1383,-0.0032,-0.019,-0.31,0.5
