factor,quintile_ann_returns,monotonic,ls_ann,ls_sharpe,top_excess_ann,top_excess_sharpe,top_turnover_daily,cost_drag_ann,top_excess_ann_net
tech_rsi_14,"[0.1899, 0.1783, 0.1408, 0.1581, 0.1555]",False,-0.0344,-0.2,-0.009,-0.1,0.19,0.024,-0.033
tech_macd_hist,"[0.1735, 0.1879, 0.1703, 0.162, 0.1291]",False,-0.0444,-0.31,-0.0354,-0.48,0.127,0.016,-0.0514
tech_macd_cross,"[0.1674, 0.1657, 0.161, 0.1861, 0.1424]",False,-0.025,-0.52,-0.0221,-0.77,0.253,0.0319,-0.054
tech_kdj_k,"[0.1895, 0.1811, 0.1513, 0.1664, 0.134]",False,-0.0554,-0.34,-0.0305,-0.36,0.187,0.0236,-0.0541
tech_kdj_d,"[0.1705, 0.1831, 0.1646, 0.1609, 0.1431]",False,-0.0274,-0.17,-0.0214,-0.25,0.122,0.0154,-0.0368
tech_kdj_j,"[0.2105, 0.1718, 0.1524, 0.1458, 0.1417]",True,-0.0688,-0.45,-0.0228,-0.29,0.286,0.0361,-0.0589
tech_kdj_cross,"[0.1681, 0.158, 0.1628, 0.1684, 0.1652]",False,-0.0029,-0.04,0.0007,0.02,0.536,0.0675,-0.0668
tech_ma_gap_5_20,"[0.2089, 0.1714, 0.1397, 0.1267, 0.1758]",False,-0.033,-0.18,0.0113,0.12,0.109,0.0137,-0.0024
tech_price_vs_ma20,"[0.2292, 0.1597, 0.1296, 0.1359, 0.168]",False,-0.0612,-0.33,0.0035,0.04,0.201,0.0253,-0.0218
tech_volatility_20d,"[0.0955, 0.1025, 0.143, 0.1961, 0.2854]",True,0.1899,0.83,0.1209,0.87,0.062,0.0078,0.1131
tech_volume_ratio_5_20,"[0.1303, 0.1351, 0.1604, 0.1878, 0.2091]",True,0.0788,1.06,0.0446,0.95,0.223,0.0281,0.0165
